id bact temp inoc cage day bill leg
79 ctrl warm egg 27 22 40.5 60.8
81 ctrl warm egg 27 22 39.2 58.6
83 ctrl warm egg 27 22 41.7 62.6
84 ctrl warm egg 27 22 40.2 62.6
85 ctrl warm egg 27 22 38.8 58.0
87 ctrl warm egg 27 22 38.8 58.0
60 ctrl warm egg 28 22 42.1 60.0
68 ctrl warm egg 28 22 44.1 62.0
69 ctrl warm egg 28 22 36.8 57.0
71 ctrl warm egg 28 22 41.8 61.2
72 ctrl warm egg 28 22 39.6 57.5
73 ctrl warm egg 28 22 40.5 58.2
74 ctrl warm egg 28 22 41.5 59.7
75 ctrl warm egg 28 22 38.5 57.0
96 ctrl warm egg 28 22 41.2 59.9
1130 ctrl warm egg 28 22 41.2 60.6
26 myco cold chick 29 21 37.6 59.8
28 myco cold chick 29 21 37.3 56.5
29 myco cold chick 29 21 38.4 53.7
30 myco cold chick 29 21 42.4 63.1
31 myco cold chick 29 21 40.3 60.5
32 myco cold chick 29 21 38.5 58.3
33 myco cold chick 29 21 35.8 55.4
34 myco cold chick 29 21 40.3 61.5
35 myco cold chick 29 21 36.7 56.3
48 myco cold chick 29 21 40.3 56.4
49 myco cold chick 29 21 37.5 56.9
