cow month first period dim water milk
888 1 h 3 222 h 293
888 1 h 4 243 c 267
890 1 h 1 174 h 409
890 1 h 2 195 c 378
890 1 h 3 216 h 390
890 1 h 4 237 c 344
891 11 h 1 285 h 315
891 11 h 2 306 c 327
892 11 h 1 195 h 442
892 11 h 2 216 c 443
894 6 h 1 214 h 369
894 6 h 2 235 c 376
894 5 c 3 277 c 347
894 5 c 4 327 h 379
896 9 c 1 299 c 296
896 9 c 2 320 h 285
896 9 h 3 341 h 244
896 9 h 4 362 c 168
897 11 h 1 134 h 310
897 11 h 2 155 c 315
898 11 h 1 245 h 405
898 11 h 2 266 c 440
899 11 c 1 199 c 377
899 11 c 2 220 h 314
3164 1 h 1 255 h 227
3164 1 h 2 276 c 194
3217 10 h 1 286 h 274
3217 10 h 2 307 c 235
3231 1 c 1 263 c 222
3231 1 c 2 284 h 223
3285 1 c 1 301 c 285
3285 1 c 2 322 h 271
3291 3 h 1 378 h 323
3291 3 h 2 399 c 258
3338 6 c 1 270 c 306
3338 6 c 2 312 h 206
3344 1 c 1 354 c 318
3344 1 c 2 375 h 255
3345 10 c 1 316 c 408
3345 10 c 2 337 h 389
3363 5 c 1 302 c 303
3363 5 c 2 323 h 349
3363 5 c 3 344 c 274
3363 5 c 4 365 h 304
3368 1 h 1 374 h 338
3368 1 h 2 395 c 295
3412 4 c 1 247 c 359
3412 4 c 2 268 h 321
3412 4 c 3 268 c 386
3412 4 c 4 310 h 270
3429 6 c 1 277 c 273
3429 6 c 2 319 h 361
3429 6 c 3 340 c 391
3429 6 c 4 361 h 349
3430 1 c 1 237 c 258
3430 1 c 2 258 h 225
3440 4 c 1 354 c 233
3440 4 c 2 375 h 196
3442 3 c 1 241 c 413
3442 3 c 2 262 h 352
3442 3 h 3 283 h 297
3442 3 h 4 304 c 187
3446 5 c 1 258 c 316
3446 5 c 2 279 h 290
3446 5 h 3 300 h 207
3446 5 h 4 321 c 135
3455 1 c 1 482 c 327
3455 1 c 2 503 h 306
3471 1 h 1 421 h 213
3471 1 h 2 441 c 133
3478 4 h 1 227 h 335
3478 4 h 2 248 c 261
3479 11 h 1 250 h 375
3479 11 h 2 271 c 362
3492 1 h 1 325 h 285
3492 1 h 2 346 c 243
3499 1 c 1 251 c 420
3499 1 c 2 272 h 397
3499 1 h 3 293 h 414
3499 1 h 4 314 c 288
3502 3 c 1 320 c 334
3502 3 c 2 341 h 280
3508 1 h 1 334 h 288
3508 1 h 2 355 c 259
3509 1 c 1 317 c 358
3509 1 c 2 338 h 341
3509 1 c 3 359 c 323
3509 1 c 4 380 h 266
3511 4 h 1 336 h 235
3511 4 h 2 357 c 191
3513 1 h 1 299 h 260
3513 1 h 2 320 c 220
3520 1 c 1 281 c 444
3520 1 c 2 302 h 425
3521 1 c 1 246 c 478
3521 1 c 2 267 h 465
3528 4 c 1 247 c 320
3528 4 c 2 247 h 357
3528 5 h 3 289 h 318
3528 5 h 4 310 c 322
3529 1 h 1 173 h 382
3529 1 h 2 194 c 371
3529 1 c 3 215 c 354
3529 1 c 4 236 h 329
3530 1 c 1 129 c 457
3530 1 c 2 150 h 377
3530 1 h 3 171 h 385
3530 1 h 4 192 c 319
3531 1 c 1 496 c 278
3531 1 c 2 517 h 262
3533 4 h 1 233 h 293
3533 4 h 2 254 c 269
3533 4 h 3 275 h 248
3533 4 h 4 296 c 213
3542 4 h 1 248 h 407
3542 4 h 2 269 c 358
3542 4 c 3 269 c 268
3542 4 c 4 311 h 265
3543 4 c 1 228 c 329
3543 4 c 2 249 h 309
3543 4 c 3 249 c 278
3543 4 c 4 291 h 169
3554 4 c 1 228 c 177
3554 4 c 2 228 h 283
3554 5 h 3 270 h 274
3554 5 h 4 291 c 257
3559 1 h 1 397 h 336
3559 1 h 2 418 c 324
3559 1 c 3 439 c 294
3559 1 c 4 460 h 277
3564 8 c 1 230 c 342
3564 8 c 2 251 h 300
3578 11 c 1 278 c 273
3578 11 c 2 299 h 162
3579 1 h 1 64 h 314
3579 1 h 2 85 c 309
3579 1 h 3 106 h 315
3579 1 h 4 127 c 234
3581 1 h 1 255 h 331
3581 1 h 2 276 c 292
3586 1 c 1 358 c 353
3586 1 c 2 379 h 325
3586 1 c 3 400 c 303
3586 1 c 4 421 h 235
3589 6 c 1 240 c 262
3589 6 c 2 282 h 332
3589 6 c 3 303 c 331
3589 6 c 4 324 h 266
3590 1 c 1 312 c 321
3590 1 c 2 333 h 298
3591 8 h 1 334 h 412
3591 8 h 2 355 c 328
3591 8 c 3 376 c 331
3591 8 c 4 397 h 313
3594 1 c 1 301 c 255
3594 1 c 2 322 h 236
3595 4 h 1 236 h 353
3595 4 h 2 257 c 348
3596 5 c 1 312 c 347
3596 5 c 2 333 h 344
3597 6 h 1 236 h 369
3597 6 h 2 257 c 342
3597 6 h 3 278 h 368
3597 6 h 4 299 c 330
3598 3 h 1 293 h 373
3598 3 h 2 314 c 328
3604 1 h 1 219 h 334
3604 1 h 2 240 c 329
3604 1 h 3 261 h 333
3604 1 h 4 282 c 277
3605 1 h 1 199 h 355
3605 1 h 2 220 c 352
3605 1 c 3 241 c 366
3605 1 c 4 262 h 203
3607 1 h 1 164 h 352
3607 1 h 2 185 c 348
3608 8 h 1 186 h 424
3608 8 h 2 207 c 439
3608 8 h 3 228 h 406
3608 8 h 4 249 c 421
3609 1 c 1 187 c 379
3609 1 c 2 208 h 387
3609 1 h 3 229 h 338
3609 1 h 4 250 c 302
3610 6 h 1 285 h 233
3610 6 h 2 306 c 285
3610 6 c 3 327 c 353
3610 6 c 4 348 h 291
3612 10 c 1 244 c 312
3612 10 c 2 265 h 210
3613 6 h 1 236 h 344
3613 6 h 2 257 c 341
3613 6 h 3 278 h 337
3613 6 h 4 299 c 329
3615 8 h 1 245 h 352
3615 8 h 2 266 c 338
3617 9 c 1 223 c 439
3617 9 c 2 244 h 441
3617 9 h 3 265 h 444
3617 9 h 4 286 c 448
3618 6 c 1 252 c 328
3618 6 c 2 294 h 262
3620 6 h 1 284 h 338
3620 6 h 2 305 c 377
3620 6 c 3 326 c 376
3620 6 c 4 347 h 362
3622 3 c 1 234 c 383
3622 3 c 2 255 h 369
3622 3 c 3 276 c 336
3622 3 c 4 297 h 303
3626 6 h 1 254 h 315
3626 6 h 2 275 c 331
3626 6 h 3 296 h 344
3626 6 h 4 317 c 339
3630 3 h 1 152 h 367
3630 3 h 2 173 c 338
3630 2 c 3 194 c 264
3630 2 c 4 194 h 334
3631 9 h 1 193 h 374
3631 9 h 2 214 c 372
3631 9 h 3 235 h 376
3631 9 h 4 256 c 363
3634 11 c 1 241 c 424
3634 11 c 2 262 h 404
3635 11 c 1 245 c 379
3635 11 c 2 266 h 365
3636 10 c 1 242 c 366
3636 10 c 2 263 h 350
3637 9 h 1 239 h 347
3637 9 h 2 260 c 338
3637 9 c 3 281 c 357
3637 9 c 4 302 h 334
3639 10 h 1 270 h 346
3639 10 h 2 291 c 373
3642 9 h 1 182 h 349
3642 9 h 2 203 c 353
3642 9 c 3 224 c 351
3642 9 c 4 245 h 335
3645 9 h 1 221 h 357
3645 9 h 2 242 c 312
3645 9 c 3 263 c 348
3645 9 c 4 284 h 315
3647 11 c 1 218 c 462
3647 11 c 2 239 h 480
3652 11 c 1 197 c 411
3652 11 c 2 218 h 392
3657 11 c 1 189 c 401
3657 11 c 2 210 h 402
3658 10 h 1 191 h 365
3658 10 h 2 212 c 378
15665 11 h 1 194 h 306
15665 11 h 2 215 c 287
15709 10 h 1 279 h 253
15709 10 h 2 300 c 233
15740 8 c 1 300 c 275
15740 8 c 2 321 h 227
15752 10 h 1 303 h 304
15752 10 h 2 324 c 295
15754 1 h 1 231 h 387
15754 1 h 2 252 c 357
15754 1 c 3 273 c 306
15754 1 c 4 294 h 254
15756 1 c 1 160 c 354
15756 1 c 2 181 h 334
15756 1 h 3 202 h 339
15756 1 h 4 223 c 290
15766 9 c 1 210 c 260
15766 9 c 2 231 h 294
15766 9 h 3 252 h 285
15766 9 h 4 273 c 279
15767 11 h 1 235 h 286
15767 11 h 2 256 c 180
15774 10 c 1 276 c 253
15774 10 c 2 297 h 250
15777 3 c 1 184 c 315
15777 3 c 2 205 h 298
15777 2 c 3 226 c 271
15777 2 c 4 226 h 274
15788 1 c 1 179 c 287
15788 1 c 2 200 h 291
15788 1 h 3 221 h 305
15788 1 h 4 242 c 289
15790 1 h 1 231 h 335
15790 1 h 2 252 c 338
15790 1 h 3 273 h 325
15790 1 h 4 294 c 299
15792 3 c 1 209 c 356
15792 3 c 2 230 h 319
15792 4 c 3 251 c 312
15792 4 c 4 293 h 313
15793 4 h 1 220 h 256
15793 4 h 2 241 c 308
15793 4 h 3 262 h 322
15793 4 h 4 283 c 324
20465 10 c 1 278 c 258
20465 10 c 2 299 h 243
20493 8 h 1 213 h 231
20493 8 h 2 234 c 162
