soil  reps acc score1 score2 score3 ht1 score4 ht2 score5 ht3 score6
grnhous 5 autocla 0.00 1.00 2.25 28.00 4.75 33.00 5.00 34.00 5.25
grnhous 5 notauto 2.50 4.00 3.75 30.25 3.75 35.75 3.75 38.25 3.75
grnhous 6 autocla 0.25 1.25 2.50 21.75 5.25 25.50 5.25 25.25 5.25
grnhous 6 notauto 2.00 2.00 2.00 31.00 2.00 31.25 2.00 34.75 2.00
nc11004 1 autocla 1.25 4.25 4.00 28.50 4.25 35.00 4.25 41.25 4.25
nc11004 1 notauto 5.75 7.75 8.00 35.25 8.00 44.50 8.00 50.50 8.00
nc11004 2 autocla 0.75 1.50 2.00 37.50 2.75 47.75 4.00 59.25 4.25
nc11004 2 notauto 6.25 8.25 8.00 37.25 8.00 43.25 8.00 49.25 8.00
nc11004 3 autocla 0.50 0.75 1.25 26.50 1.50 36.75 3.50 44.00 3.50
nc11004 3 notauto 7.50 8.00 8.00 39.00 8.25 41.50 8.25 50.25 8.25
nc11004 4 autocla 0.50 2.50 3.00 37.00 5.25 53.75 5.75 63.50 5.75
nc11004 4 notauto 8.50 9.25 9.25 38.75 9.25 44.25 9.25 45.50 9.25
nc11004 5 autocla 2.00 6.25 6.50 30.00 6.75 36.25 6.75 44.00 6.75
nc11004 5 notauto 7.25 8.00 8.50 38.50 8.50 47.25 8.75 51.50 8.75
nc11004 6 autocla 0.00 1.50 4.75 41.75 7.25 57.75 7.50 67.50 7.50
nc11004 6 notauto 5.75 7.75 7.75 38.00 7.75 42.50 7.75 46.50 7.75
ne-332  1 autocla 0.75 3.50 5.00 43.00 6.25 55.50 6.75 66.50 6.75
ne-332  1 notauto 0.50 1.75 1.75 29.75 3.75 36.50 4.00 47.50 4.75
ne-332  2 autocla 1.25 3.50 5.25 40.00 6.75 48.50 6.75 55.00 6.75
ne-332  2 notauto 5.00 7.00 7.25 37.00 7.50 41.75 7.50 45.75 7.50
ne-332  3 autocla 1.00 5.75 6.75 42.75 8.50 56.00 9.00 66.75 9.00
ne-332  3 notauto 5.50 8.00 7.25 40.00 7.25 46.00 7.25 51.00 7.25
ne-332  4 autocla 1.00 2.50 4.50 35.00 5.00 44.25 5.25 48.75 5.25
ne-332  4 notauto 4.50 5.50 5.25 43.50 5.50 45.00 5.50 53.00 5.50
ne-332  5 autocla 0.50 2.00 3.25 36.25 5.00 43.25 6.00 52.00 6.00
ne-332  5 notauto 3.25 3.75 5.00 41.50 6.25 46.25 6.25 50.00 6.25
ne-332  6 autocla 1.00 2.75 3.00 33.75 3.00 41.00 4.50 56.75 5.25
ne-332  6 notauto 3.00 3.00 3.25 42.50 3.50 45.75 3.50 50.75 3.50
nm-6    1 autocla 0.25 1.50 1.50 46.50 2.75 58.50 2.75 67.50 2.75
nm-6    1 notauto 2.25 3.50 4.25 35.00 4.75 36.75 5.00 40.00 5.00
nm-6    2 autocla 1.75 3.75 4.00 27.75 4.50 40.75 4.75 47.00 5.00
nm-6    2 notauto 2.50 3.50 3.50 18.50 3.75 31.75 3.75 31.25 3.75
nm-6    3 autocla 0.25 2.00 3.00 32.50 4.50 42.25 5.50 48.25 5.50
nm-6    3 notauto 1.00 1.50 1.75 21.75 1.75 22.50 1.75 24.75 1.75
nm-6    4 autocla 1.00 5.50 5.75 39.50 7.25 50.25 7.25 62.00 7.25
nm-6    4 notauto 4.00 5.50 5.50 26.50 5.50 31.25 5.50 32.25 5.50
nm-6    5 autocla 0.50 2.50 3.25 25.00 5.00 43.50 5.50 55.50 5.75
nm-6    5 notauto 2.50 4.00 4.25 32.50 4.25 36.25 4.25 41.50 4.25
nm-6    6 autocla 0.25 2.00 2.75 30.00 3.00 41.00 3.25 53.75 3.25
nm-6    6 notauto 1.00 2.00 1.75 29.50 1.75 34.00 2.25 40.00 2.25
promix  1 autocla 6.50 8.00 8.50 50.50 8.50 55.00 8.50 56.00 8.50
promix  1 notauto 4.50 8.25 8.75 40.25 9.00 46.25 9.00 45.75 9.00
promix  2 autocla 6.00 7.00 7.25 39.00 7.25 43.75 7.25 49.00 7.25
promix  2 notauto 4.75 6.75 6.25 29.25 6.75 31.00 6.75 34.50 6.75
promix  3 autocla 8.25 9.00 9.00 41.75 9.00 43.75 9.00 43.00 9.00
promix  3 notauto 1.50 3.00 3.00 38.75 3.00 40.50 3.00 44.75 3.00
promix  4 autocla 7.00 8.00 8.00 40.00 8.00 44.75 8.00 48.00 8.00
promix  4 notauto 0.75 2.25 2.25 20.75 2.25 25.75 2.25 32.25 2.25
promix  5 autocla 7.00 8.75 8.75 50.75 8.75 54.50 8.75 56.50 8.75
promix  5 notauto 0.50 2.25 2.25 11.00 2.25 11.25 2.25 15.75 2.75
promix 6 autocla 6.75 8.00 8.25 46.50 8.25 47.50 8.25 48.50 8.25
promix 6 notauto 0.00 0.00 0.25 14.50 2.00 16.25 2.00 15.25 2.25
vermic 1 autocla 6.75 7.50 7.75 37.75 8.00 42.50 8.00 32.50 8.00
vermic 1 notauto 5.75 8.50 8.50 34.75 9.00 37.00 9.00 38.75 9.00
vermic 2 autocla 8.00 8.50 8.25 36.50 8.25 37.50 8.25 39.00 8.25
vermic 2 notauto 4.00 7.25 7.00 31.50 7.00 33.75 7.00 39.00 7.00
vermic 3 autocla 7.75 9.25 9.25 43.25 9.25 50.25 9.25 53.00 9.25
vermic 3 notauto 5.25 8.50 8.50 31.50 8.50 34.50 8.50 35.75 8.50
vermic 4 autocla 7.50 8.25 8.25 35.25 8.25 40.50 8.25 44.75 8.25
vermic 4 notauto 3.25 5.25 5.25 26.75 5.25 30.25 5.25 35.25 5.25
vermic 5 autocla 9.00 8.50 9.00 35.75 9.00 39.00 9.00 40.50 9.00
vermic 5 notauto 3.50 7.25 7.50 33.25 7.50 36.00 7.75 41.00 7.75
vermic 6 autocla 8.25 9.00 8.75 44.25 8.75 45.75 8.75 46.50 8.75
vermic 6 notauto 2.25 6.00 6.75 32.50 7.25 36.25 7.25 47.00 7.25
