   cow hc trt    per     dmi code 
 611.H  H   5   Late 15.7200    5
 611.H  H   5 Middle 15.5357    5
 614.H  H   4  Early 17.7583    4
 614.H  H   4   Late 15.6800    4
 614.H  H   4 Middle 18.5286    4
 615.H  H   4  Early 16.8500    4
 615.H  H   4   Late 17.9800    4
 615.H  H   4 Middle 16.3929    4
 616.H  H   2  Early 17.8750    2
 616.H  H   2   Late 18.0500    2
 616.H  H   2 Middle 20.2429    2
 618.H  H   4  Early 16.2000    4
 618.H  H   4   Late 14.2700    4
 618.H  H   4 Middle 15.8286    4
 620.H  H   1  Early 13.9917    1
 620.H  H   1   Late 19.1800    1
 620.H  H   1 Middle 19.1714    1
 622.H  H   1  Early 17.6417    1
 622.H  H   1   Late 16.6500    1
 622.H  H   1 Middle 18.9357    1
 623.H  H   3  Early 16.8750    3
 623.H  H   3   Late 17.6800    3
 623.H  H   3 Middle 19.6786    3
 625.H  H   2  Early 16.3167    2
 625.H  H   2   Late 17.0700    2
 625.H  H   2 Middle 19.5786    2
 626.H  H   3  Early 16.8667    3
 626.H  H   3   Late 17.6700    3
 626.H  H   3 Middle 19.8143    3
 628.H  H   1  Early 17.4167    1
 628.H  H   1   Late 19.3600    1
 628.H  H   1 Middle 19.6571    1
 630.H  H   3  Early 14.9750    3
 630.H  H   3   Late 15.8700    3
 630.H  H   3 Middle 16.9500    3
 633.H  H   1  Early 17.4833    1
 633.H  H   1   Late 20.2200    1
 633.H  H   1 Middle 20.6214    1
 635.H  H   1  Early 15.9417    1
 635.H  H   1   Late 17.8100    1
 635.H  H   1 Middle 16.6429    1
 639.H  H   3  Early 13.9500    3
 639.H  H   3   Late 17.9000    3
 639.H  H   3 Middle 18.0857    3
 650.H  H   2  Early 13.3833    2
 650.H  H   2   Late 16.1400    2
 650.H  H   2 Middle 17.8571    2
 652.H  H   3  Early 16.3750    3
 652.H  H   3   Late 17.9800    3
 652.H  H   3 Middle 20.6214    3
 654.H  H   1  Early 15.9000    1
 654.H  H   1   Late 16.9200    1
 654.H  H   1 Middle 19.5143    1
 657.H  H   4  Early 18.0500    4
 657.H  H   4   Late 19.7500    4
 657.H  H   4 Middle 19.3214    4
 658.H  H   4  Early 14.0583    4
 658.H  H   4   Late 14.0900    4
 658.H  H   4 Middle 17.3571    4
 659.H  H   5  Early 11.1667    5
 659.H  H   5   Late 15.0300    5
 659.H  H   5 Middle 16.2500    5
 660.H  H   1  Early 18.4417    1
 660.H  H   1   Late 20.2000    1
 660.H  H   1 Middle 21.1143    1
 666.H  H   3  Early 15.6667    3
 666.H  H   3   Late 20.8400    3
 666.H  H   3 Middle 20.3429    3
 668.H  H   3  Early 15.5500    3
 668.H  H   3   Late 15.6800    3
 668.H  H   3 Middle 18.5143    3
 671.H  H   2  Early 17.4167    2
 671.H  H   2   Late 19.1900    2
 671.H  H   2 Middle 20.5357    2
 672.H  H   5  Early 12.0333    5
 672.H  H   5   Late 14.1800    5
 672.H  H   5 Middle 15.3071    5
 673.H  H   4  Early 15.6583    4
 673.H  H   4   Late 16.6000    4
 673.H  H   4 Middle 17.8357    4
 688.H  H   1  Early 19.9083    1
 688.H  H   1   Late 22.3800    1
 688.H  H   1 Middle 21.6929    1
 699.H  H   2  Early 19.0000    2
 699.H  H   2   Late 16.9400    2
 699.H  H   2 Middle 19.5786    2
 800.H  H   2  Early 15.5917    2
 800.H  H   2   Late 16.7700    2
 800.H  H   2 Middle 17.7000    2
 801.H  H   4  Early 16.2250    4
 801.H  H   4   Late 16.6100    4
 801.H  H   4 Middle 17.2500    4
 803.H  H   2  Early 15.3500    2
 803.H  H   2   Late 17.2300    2
 803.H  H   2 Middle 17.1429    2
 820.H  H   5  Early 12.5500    5
 820.H  H   5   Late 15.6700    5
 820.H  H   5 Middle 16.1857    5
1329.C  C   1  Early 20.6333    6
1329.C  C   1   Late 20.4100    6
1329.C  C   1 Middle 21.2429    6
2503.C  C   4  Early 20.1833    9
2503.C  C   4   Late 22.4100    9
2503.C  C   4 Middle 20.5571    9
2627.C  C   2  Early 17.2500    7
2627.C  C   2   Late 18.0300    7
2627.C  C   2 Middle 20.9071    7
2821.C  C   2  Early 28.0333    7
2821.C  C   2   Late 24.7800    7
2821.C  C   2 Middle 27.9357    7
2895.C  C   5  Early 17.0917    0
2895.C  C   5   Late 17.7700    0
2895.C  C   5 Middle 20.7214    0
2900.C  C   1  Early 24.1083    6
2900.C  C   1   Late 25.0700    6
2900.C  C   1 Middle 26.1571    6
2990.C  C   4  Early 18.0833    9
2990.C  C   4   Late 19.4500    9
2990.C  C   4 Middle 20.1857    9
